movie_title,rating
Goosebumps,4
Formula 51,5
Blade II,3
Boogeyman,5
Hollywood Homicide,5
Punisher: War Zone,3
Maniac,3
Childs Play 2,4
Funny Games,4
Chain Reaction,5
Very Bad Things,4
The Texas Chainsaw Massacre: The Beginning,3
Halloween 5,4
Sinister 2,5
Broken Horses,4
I Still Know What You Did Last Summer,5
"Ultramarines: A Warhammer 40,000 Movie",5
Punisher: War Zone,4
Cargo,4
Trance,5
Goosebumps,2
Formula 51,2
Blade II,2
Boogeyman,1
Hollywood Homicide,2
Punisher: War Zone,1
Maniac,1
Childs Play 2,1
Funny Games,2
Chain Reaction,2
Very Bad Things,1
The Texas Chainsaw Massacre: The Beginning,1
Halloween 5,2
Sinister 2,1
Broken Horses,2
I Still Know What You Did Last Summer,1
"Ultramarines: A Warhammer 40,000 Movie",2
Punisher: War Zone,1
Cargo,2
Trance,2
