movie_title,rating
The Shallows,5
Fright Night,4
Two Evil Eyes,4
Rubber,4
Reindeer Games,4
Alien Zone,4
The 5th Wave,5
The Generals Daughter,5
The Bone Collector,3
The Dead Undead,5
Black Christmas,5
3000 Miles to Graceland,4
Treachery,5
High Noon,5
A Sound of Thunder,3
Airlift,3
The Boy Next Door,5
Cecil B. DeMented,3
I Still Know What You Did Last Summer,4
Repo Man,5
The Shallows,1
Fright Night,1
Two Evil Eyes,2
Rubber,1
Reindeer Games,1
Alien Zone,1
The 5th Wave,2
The Generals Daughter,1
The Bone Collector,1
The Dead Undead,1
Black Christmas,1
3000 Miles to Graceland,2
Treachery,1
High Noon,1
A Sound of Thunder,1
Airlift,1
The Boy Next Door,1
Cecil B. DeMented,1
I Still Know What You Did Last Summer,1
Repo Man,2
