movie_title,rating
You Only Live Twice,4
Dylan Dog: Dead of Night,4
Freeway,5
Safe House,5
Blade II,4
"I, Frankenstein",5
Knockaround Guys,5
The Secret in Their Eyes,4
Halloween: Resurrection,3
Prison,5
The Score,4
Area 51,5
[Rec] 2,5
One Hour Photo,5
Jason Goes to Hell: The Final Friday,4
Ghost Ship,5
Deterrence,5
Crank: High Voltage,5
Confidence,4
Final Destination,4
You Only Live Twice,1
Dylan Dog: Dead of Night,1
Freeway,2
Safe House,2
Blade II,1
"I, Frankenstein",1
Knockaround Guys,1
The Secret in Their Eyes,1
Halloween: Resurrection,1
Prison,2
The Score,2
Area 51,1
[Rec] 2,1
One Hour Photo,1
Jason Goes to Hell: The Final Friday,1
Ghost Ship,1
Deterrence,1
Crank: High Voltage,1
Confidence,1
Final Destination,2
