movie_title,rating
Stone,4
Crash,5
Broken City,5
Steamboy,4
Fido,4
Star Trek: Generations,5
3 Days to Kill,5
Jumper,4
Supernova,5
Death Sentence,4
Show Me,5
Now You See Me 2,4
Octopussy,4
The Company            ,3
Thunderball,5
The Wolfman,4
Ballistic: Ecks vs. Sever,5
Colombiana,4
Triple 9,5
The Hit List,5
Stone,1
Crash,2
Broken City,1
Steamboy,2
Fido,1
Star Trek: Generations,1
3 Days to Kill,2
Jumper,1
Supernova,2
Death Sentence,1
Show Me,1
Now You See Me 2,2
Octopussy,3
The Company            ,2
Thunderball,2
The Wolfman,1
Ballistic: Ecks vs. Sever,1
Colombiana,2
Triple 9,1
The Hit List,1
