movie_title,rating
Road House,5
Eddie: The Sleepwalking Cannibal,5
Sound of My Voice,5
Out of Sight,5
The Purge,4
AWOL-72,5
Jason Lives: Friday the 13th Part VI,5
The Dark Knight,4
Knockaround Guys,4
Fear Clinic,5
Feast,4
Amnesiac,5
The Way of the Gun,5
Re-Kill,5
The Purge,3
Zombieland,4
Fair Game,5
Bound,4
Super Hybrid,5
Collateral,5
Road House,3
Eddie: The Sleepwalking Cannibal,1
Sound of My Voice,2
Out of Sight,1
The Purge,3
AWOL-72,1
Jason Lives: Friday the 13th Part VI,3
The Dark Knight,1
Knockaround Guys,1
Fear Clinic,1
Feast,1
Amnesiac,2
The Way of the Gun,2
Re-Kill,2
The Purge,2
Zombieland,2
Fair Game,1
Bound,3
Super Hybrid,1
Collateral,1
