movie_title,rating
Compliance,5
The Spy Who Loved Me,4
Shotgun Stories,5
Creepshow,4
Baby Boy,5
The Insider,5
RED 2,4
The Day After Tomorrow,5
Machete Kills,3
Shadow Conspiracy,4
Road House,5
Lethal Weapon 3,5
In the Heart of the Sea,5
The Man Who Knew Too Little,5
A Sound of Thunder,4
The Maze Runner,4
Planet of the Apes,5
Out of the Furnace,5
Awake,4
Blindness,5
Compliance,2
The Spy Who Loved Me,2
Shotgun Stories,2
Creepshow,1
Baby Boy,1
The Insider,1
RED 2,2
The Day After Tomorrow,3
Machete Kills,1
Shadow Conspiracy,2
Road House,3
Lethal Weapon 3,1
In the Heart of the Sea,2
The Man Who Knew Too Little,2
A Sound of Thunder,1
The Maze Runner,1
Planet of the Apes,1
Out of the Furnace,2
Awake,1
Blindness,1
