movie_title,rating
Lords of London,5
The Darkest Hour,5
Signs,4
Treachery,3
12 Monkeys            ,5
Queen Crab,5
Speed 2: Cruise Control,5
Paparazzi,4
Rambo: First Blood Part II,3
Olympus Has Fallen,5
Party Monster,4
Lifeforce,4
Detention of the Dead,4
Red State,5
Primer,4
Safe House,4
An American Haunting,4
Star Trek: Generations,5
Crash,4
28 Days Later...,5
Lords of London,2
The Darkest Hour,2
Signs,1
Treachery,1
12 Monkeys            ,1
Queen Crab,2
Speed 2: Cruise Control,1
Paparazzi,3
Rambo: First Blood Part II,1
Olympus Has Fallen,2
Party Monster,3
Lifeforce,3
Detention of the Dead,2
Red State,2
Primer,3
Safe House,1
An American Haunting,1
Star Trek: Generations,1
Crash,1
28 Days Later...,3
