movie_title,rating
Grindhouse,5
Now You See Me 2,5
Ex Machina,5
Blood Diamond,3
Reservoir Dogs,3
BloodRayne,5
Sleepy Hollow            ,4
Ghosts of Mars,4
Crank,5
The Adjustment Bureau,5
The Prince,5
Traffic,5
The Core,5
The International,5
From Hell,5
Original Sin,5
Pink Flamingos,5
The Innkeepers,4
Addicted,4
The Texas Chain Saw Massacre,3
Grindhouse,2
Now You See Me 2,1
Ex Machina,2
Blood Diamond,2
Reservoir Dogs,1
BloodRayne,2
Sleepy Hollow            ,1
Ghosts of Mars,2
Crank,1
The Adjustment Bureau,1
The Prince,1
Traffic,1
The Core,3
The International,2
From Hell,1
Original Sin,2
Pink Flamingos,2
The Innkeepers,3
Addicted,1
The Texas Chain Saw Massacre,2
